state,year,month,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Louisiana,2021,9,24.82847222222222,13.2,34.5,8.145416666666666,0.4,23.3,78.08611111111111,21,100
Louisiana,2021,10,22.158870967741937,10.2,31.2,9.366532258064517,0.0,31.0,73.54032258064517,27,100
Louisiana,2021,11,14.022638888888888,3.3,26.4,9.435,0.4,22.0,72.06388888888888,29,100
Louisiana,2021,12,16.912365591397847,2.3,27.5,11.440725806451612,0.4,29.1,83.00268817204301,41,100
Louisiana,2022,1,9.045430107526881,-4.9,27.5,12.503494623655914,0.5,32.7,66.83467741935483,29,100
Louisiana,2022,2,10.832738095238096,-2.5,26.7,12.15297619047619,0.5,28.4,72.13541666666667,30,100
Louisiana,2022,3,15.171908602150538,0.6,28.4,12.133870967741936,0.4,35.6,68.29166666666667,23,100
Louisiana,2022,4,19.914583333333333,6.3,30.0,12.839166666666667,1.8,32.2,69.34305555555555,22,100
Louisiana,2022,5,25.68561827956989,15.6,35.1,10.230913978494623,0.8,24.7,70.28360215053763,29,100
Louisiana,2022,6,28.20861111111111,20.6,37.8,7.7034722222222225,0.4,18.1,71.66111111111111,31,100
Louisiana,2022,7,28.935349462365593,22.0,38.4,8.004569892473118,0.7,18.5,74.56048387096774,32,100
Louisiana,2022,8,26.804569892473115,22.0,36.2,7.222849462365591,0.4,17.3,83.00403225806451,40,100
Louisiana,2022,9,25.82263888888889,13.1,37.0,7.634305555555556,1.1,19.7,65.9375,22,100
Louisiana,2022,10,20.02540322580645,4.8,32.1,9.629435483870967,0.4,23.8,59.81317204301075,22,100
Louisiana,2022,11,14.88375,1.4,29.4,10.23375,0.4,42.8,73.18472222222222,35,100
Louisiana,2022,12,12.37244623655914,-9.1,26.8,10.299596774193548,0.7,28.1,75.76478494623656,27,100
Louisiana,2023,1,13.633064516129032,0.8,25.4,11.919623655913979,0.5,41.1,78.36290322580645,36,100
Louisiana,2023,2,14.662202380952381,0.3,27.6,12.437351190476189,1.1,33.8,79.55505952380952,34,100
Louisiana,2023,3,17.623655913978496,-0.5,28.0,12.318145161290323,0.8,30.7,70.1491935483871,29,100
Louisiana,2023,4,19.2575,9.1,30.4,11.448194444444445,0.7,28.1,71.75277777777778,25,100
Louisiana,2023,5,24.29784946236559,13.4,33.2,8.635618279569892,0.4,21.2,68.04569892473118,24,100
Louisiana,2023,6,28.002638888888892,19.3,38.2,8.4525,0.0,22.1,71.22083333333333,30,100
Louisiana,2023,7,29.753091397849463,21.6,38.6,7.822177419354839,0.5,20.2,67.21102150537635,29,100
Louisiana,2023,8,32.02217741935484,21.5,40.8,9.37741935483871,0.4,22.4,55.3494623655914,21,98
Louisiana,2023,9,27.71013888888889,18.4,37.7,7.2619444444444445,0.0,16.2,61.80416666666667,18,100
Louisiana,2023,10,21.805779569892472,7.4,34.0,10.595430107526882,1.8,24.3,61.943548387096776,18,100
Louisiana,2023,11,15.262083333333335,2.2,29.8,9.496805555555556,1.0,23.8,70.5513888888889,21,100
Louisiana,2023,12,12.19274193548387,0.2,25.3,9.763037634408603,0.0,27.4,70.33870967741936,30,100
Louisiana,2024,1,8.661962365591398,-8.9,22.0,12.069489247311829,0.5,36.9,71.34946236559139,10,100
