state,date,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Mississippi,2025-12-24,17.195833333333333,11.8,24.6,7.079166666666667,2.8,10.2,83.33333333333333,54,98
Mississippi,2025-12-25,17.329166666666666,13.2,22.5,9.358333333333333,5.5,12.7,86.41666666666667,64,99
Missouri,2025-12-22,6.720833333333334,2.2,14.9,14.416666666666666,8.9,17.8,42.625,35,73
Missouri,2025-12-23,11.341666666666667,8.2,17.1,10.654166666666667,0.5,15.4,90.875,79,99
Missouri,2025-12-24,14.841666666666667,10.1,23.4,11.089583333333332,6.3,20.9,91.14583333333333,64,99
Missouri,2025-12-25,16.258333333333333,13.7,21.6,9.920833333333333,3.1,16.5,91.5,65,100
Montana,2025-12-22,0.15416666666666665,-1.8,1.9,17.745833333333334,10.7,23.7,78.625,57,91
Montana,2025-12-23,-0.2333333333333334,-5.2,5.6,16.129166666666666,7.1,27.8,76.875,58,89
Montana,2025-12-24,4.2437499999999995,0.6,7.2,18.291666666666668,10.7,23.2,57.1875,45,70
Montana,2025-12-25,4.2,2.0,6.2,23.516666666666666,16.9,30.7,74.625,55,98
Nebraska,2025-12-22,4.945833333333334,0.6,13.6,15.770833333333334,10.8,23.0,60.541666666666664,45,82
Nebraska,2025-12-23,6.016666666666667,0.1,11.4,9.674999999999999,5.3,18.6,70.33333333333333,55,87
Nebraska,2025-12-24,4.572916666666667,-0.2,13.4,7.854166666666667,3.0,10.6,83.625,60,97
Nebraska,2025-12-25,3.654166666666667,-0.2,8.2,7.308333333333334,1.1,13.8,94.625,80,100
Nevada,2025-12-22,6.8999999999999995,3.0,12.9,12.1875,5.8,23.5,65.5,36,78
Nevada,2025-12-23,7.5625,5.0,11.5,17.079166666666666,12.1,29.0,50.833333333333336,36,61
Nevada,2025-12-24,6.3812500000000005,4.5,9.1,33.552083333333336,24.9,46.7,78.64583333333333,42,94
Nevada,2025-12-25,4.583333333333333,3.0,7.2,32.32083333333333,25.7,42.9,88.70833333333333,74,95
New Hampshire,2025-12-22,-6.375,-10.2,-2.5,13.975,3.4,18.6,52.708333333333336,36,65
New Hampshire,2025-12-23,-4.075,-7.9,2.4,4.858333333333333,0.8,9.1,72.16666666666667,48,90
New Hampshire,2025-12-24,-2.872916666666667,-6.8,-1.2,8.352083333333333,2.5,15.4,89.0,70,99
New Hampshire,2025-12-25,-6.5125,-11.6,-0.2,10.729166666666666,1.0,27.0,82.95833333333333,68,94
New Jersey,2025-12-22,-1.2791666666666666,-4.8,3.3,11.1,7.9,16.4,48.541666666666664,34,62
New Jersey,2025-12-23,1.4833333333333334,-0.6,3.9,8.875,5.0,11.9,72.875,58,90
New Jersey,2025-12-24,4.45625,1.5,8.3,17.977083333333333,6.5,29.4,69.89583333333333,41,92
New Jersey,2025-12-25,1.9916666666666665,-2.2,8.9,10.908333333333333,0.4,22.5,68.79166666666667,43,87
New Mexico,2025-12-22,9.004166666666666,3.3,17.5,8.341666666666667,3.2,14.8,36.416666666666664,16,51
New Mexico,2025-12-23,8.583333333333334,3.2,18.2,3.720833333333333,1.1,8.0,29.416666666666668,14,42
New Mexico,2025-12-24,9.233333333333333,4.8,17.1,4.833333333333333,2.2,12.9,33.0625,19,45
New Mexico,2025-12-25,9.6875,5.1,14.7,11.395833333333334,3.9,21.1,61.125,34,90
New York,2025-12-22,-5.4375,-7.7,-1.5,15.375,8.9,25.4,68.83333333333333,52,84
