state,year,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
North Carolina,2020,3.536538461538462,-7.0,14.1,9.774358974358973,0.0,24.2,69.97115384615384,32,100
North Carolina,2021,16.10574200913242,-5.8,35.3,9.68953196347032,0.0,28.9,69.83801369863014,11,100
North Carolina,2022,15.724429223744293,-13.0,37.3,9.80931506849315,0.0,38.3,69.22933789954338,13,100
North Carolina,2023,16.296073059360733,-5.2,36.0,9.630091324200913,0.0,31.6,69.14623287671233,19,100
North Carolina,2024,16.188877504553734,-8.5,36.8,9.805362021857924,0.0,46.5,71.27607012750455,15,100
North Carolina,2025,15.740364946536495,-9.3,36.3,10.67928870292887,0.0,42.3,68.2437819618782,15,100
North Dakota,2020,-6.690384615384616,-13.4,2.0,15.996794871794872,3.6,27.2,76.2948717948718,45,97
North Dakota,2021,7.456746575342466,-30.8,36.4,15.771152968036528,0.5,53.8,61.19440639269406,13,100
North Dakota,2022,4.029383561643836,-33.0,34.0,19.3875799086758,0.5,72.0,70.4013698630137,10,100
North Dakota,2023,5.857922374429224,-29.0,32.7,16.576255707762556,0.4,63.8,74.52077625570776,20,100
North Dakota,2024,6.880817395264116,-29.2,32.5,15.40928961748634,0.0,53.5,69.00125227686704,13,100
North Dakota,2025,5.892393072989307,-34.9,32.3,14.58511738726174,0.2,49.0,72.2696420269642,22,100
Ohio,2020,-2.3400641025641025,-12.5,8.8,15.843589743589742,2.3,30.8,72.17948717948718,44,95
Ohio,2021,11.486495433789955,-20.2,32.6,12.68365296803653,0.5,42.5,72.32214611872146,25,100
Ohio,2022,10.739189497716895,-23.6,33.3,13.431141552511416,0.4,38.0,69.36232876712329,18,100
Ohio,2023,11.55310502283105,-11.1,31.5,12.5887899543379,0.4,46.6,70.7486301369863,19,100
Ohio,2024,12.100113843351547,-16.0,32.7,12.673622495446267,0.0,39.9,71.47153916211293,25,100
Ohio,2025,10.62877150162715,-23.5,32.7,13.288557647605765,0.2,40.2,73.51999070199906,18,100
Oklahoma,2020,7.0019230769230765,-3.4,16.1,15.671794871794873,3.7,29.2,62.916666666666664,28,96
Oklahoma,2021,16.88288812785388,-26.9,37.1,12.88060502283105,0.4,43.6,65.67853881278539,21,100
Oklahoma,2022,16.82420091324201,-15.4,42.5,13.347043378995435,0.0,42.3,59.596917808219175,10,100
Oklahoma,2023,17.238025114155253,-8.9,40.4,12.119417808219179,0.0,43.2,64.45981735159818,13,100
Oklahoma,2024,17.843021402550093,-16.5,40.5,12.895423497267759,0.4,47.1,63.81352459016394,16,100
Oklahoma,2025,16.773215946071595,-16.2,36.7,14.716207577870758,0.0,52.4,67.09983728498374,5,100
Oregon,2020,-0.26346153846153847,-7.7,5.9,11.166666666666666,4.0,21.9,74.72435897435898,24,100
Oregon,2021,7.448458904109589,-11.1,37.8,8.36082191780822,0.0,33.2,73.77431506849315,13,100
Oregon,2022,6.955125570776256,-15.5,36.5,8.38228310502283,0.0,27.1,73.5195205479452,11,100
Oregon,2023,7.05384703196347,-14.8,35.2,8.133367579908676,0.0,33.5,74.10958904109589,13,100
Oregon,2024,7.1892531876138435,-15.4,34.5,8.488365209471768,0.0,30.2,75.78699908925319,13,100
Oregon,2025,7.824953509995351,-16.4,32.8,7.9526266852626675,0.0,39.9,73.99506043700605,7,100
Pennsylvania,2020,-0.976923076923077,-9.1,11.6,11.75448717948718,1.3,24.5,68.84294871794872,45,100
